Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item Code (FBS),Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
KEN,2010-01-01,2010-12-31,114,'404,Kenya,2501,'S2501,Population,511,Total Population - Both sexes,2010,2010,1000 No,41598.570000,X,
KEN,2011-01-01,2011-12-31,114,'404,Kenya,2501,'S2501,Population,511,Total Population - Both sexes,2011,2011,1000 No,42758.460000,X,
KEN,2012-01-01,2012-12-31,114,'404,Kenya,2501,'S2501,Population,511,Total Population - Both sexes,2012,2012,1000 No,43888.300000,X,
KEN,2013-01-01,2013-12-31,114,'404,Kenya,2501,'S2501,Population,511,Total Population - Both sexes,2013,2013,1000 No,44986.790000,X,
KEN,2014-01-01,2014-12-31,114,'404,Kenya,2501,'S2501,Population,511,Total Population - Both sexes,2014,2014,1000 No,46051.440000,X,
KEN,2015-01-01,2015-12-31,114,'404,Kenya,2501,'S2501,Population,511,Total Population - Both sexes,2015,2015,1000 No,47088.530000,X,
KEN,2016-01-01,2016-12-31,114,'404,Kenya,2501,'S2501,Population,511,Total Population - Both sexes,2016,2016,1000 No,48139.690000,X,
KEN,2017-01-01,2017-12-31,114,'404,Kenya,2501,'S2501,Population,511,Total Population - Both sexes,2017,2017,1000 No,49197.770000,X,
KEN,2018-01-01,2018-12-31,114,'404,Kenya,2501,'S2501,Population,511,Total Population - Both sexes,2018,2018,1000 No,50207.110000,X,
KEN,2019-01-01,2019-12-31,114,'404,Kenya,2501,'S2501,Population,511,Total Population - Both sexes,2019,2019,1000 No,51202.830000,X,
KEN,2020-01-01,2020-12-31,114,'404,Kenya,2501,'S2501,Population,511,Total Population - Both sexes,2020,2020,1000 No,52217.330000,X,
KEN,2021-01-01,2021-12-31,114,'404,Kenya,2501,'S2501,Population,511,Total Population - Both sexes,2021,2021,1000 No,53219.170000,X,
KEN,2022-01-01,2022-12-31,114,'404,Kenya,2501,'S2501,Population,511,Total Population - Both sexes,2022,2022,1000 No,54252.460000,X,
KEN,2023-01-01,2023-12-31,114,'404,Kenya,2501,'S2501,Population,511,Total Population - Both sexes,2023,2023,1000 No,55339.000000,X,
KEN,2010-01-01,2010-12-31,114,'404,Kenya,2901,'S2901,Grand Total,664,Food supply (kcal/capita/day),2010,2010,kcal/cap/d,2178.210000,E,
KEN,2011-01-01,2011-12-31,114,'404,Kenya,2901,'S2901,Grand Total,664,Food supply (kcal/capita/day),2011,2011,kcal/cap/d,2185.370000,E,
KEN,2012-01-01,2012-12-31,114,'404,Kenya,2901,'S2901,Grand Total,664,Food supply (kcal/capita/day),2012,2012,kcal/cap/d,2208.060000,E,
KEN,2013-01-01,2013-12-31,114,'404,Kenya,2901,'S2901,Grand Total,664,Food supply (kcal/capita/day),2013,2013,kcal/cap/d,2233.440000,E,
KEN,2014-01-01,2014-12-31,114,'404,Kenya,2901,'S2901,Grand Total,664,Food supply (kcal/capita/day),2014,2014,kcal/cap/d,2230.330000,E,
KEN,2015-01-01,2015-12-31,114,'404,Kenya,2901,'S2901,Grand Total,664,Food supply (kcal/capita/day),2015,2015,kcal/cap/d,2236.160000,E,
KEN,2016-01-01,2016-12-31,114,'404,Kenya,2901,'S2901,Grand Total,664,Food supply (kcal/capita/day),2016,2016,kcal/cap/d,2174.690000,E,
KEN,2017-01-01,2017-12-31,114,'404,Kenya,2901,'S2901,Grand Total,664,Food supply (kcal/capita/day),2017,2017,kcal/cap/d,2192.950000,E,
KEN,2018-01-01,2018-12-31,114,'404,Kenya,2901,'S2901,Grand Total,664,Food supply (kcal/capita/day),2018,2018,kcal/cap/d,2226.600000,E,
KEN,2019-01-01,2019-12-31,114,'404,Kenya,2901,'S2901,Grand Total,664,Food supply (kcal/capita/day),2019,2019,kcal/cap/d,2289.890000,E,
KEN,2020-01-01,2020-12-31,114,'404,Kenya,2901,'S2901,Grand Total,664,Food supply (kcal/capita/day),2020,2020,kcal/cap/d,2256.390000,E,
KEN,2021-01-01,2021-12-31,114,'404,Kenya,2901,'S2901,Grand Total,664,Food supply (kcal/capita/day),2021,2021,kcal/cap/d,2162.740000,E,
KEN,2022-01-01,2022-12-31,114,'404,Kenya,2901,'S2901,Grand Total,664,Food supply (kcal/capita/day),2022,2022,kcal/cap/d,2137.610000,E,
KEN,2023-01-01,2023-12-31,114,'404,Kenya,2901,'S2901,Grand Total,664,Food supply (kcal/capita/day),2023,2023,kcal/cap/d,2146.010000,E,
KEN,2010-01-01,2010-12-31,114,'404,Kenya,2901,'S2901,Grand Total,661,Food supply (kcal),2010,2010,million Kcal,33072800.780000,E,
KEN,2011-01-01,2011-12-31,114,'404,Kenya,2901,'S2901,Grand Total,661,Food supply (kcal),2011,2011,million Kcal,34106713.670000,E,
KEN,2012-01-01,2012-12-31,114,'404,Kenya,2901,'S2901,Grand Total,661,Food supply (kcal),2012,2012,million Kcal,35371409.680000,E,
KEN,2013-01-01,2013-12-31,114,'404,Kenya,2901,'S2901,Grand Total,661,Food supply (kcal),2013,2013,million Kcal,36673564.930000,E,
KEN,2014-01-01,2014-12-31,114,'404,Kenya,2901,'S2901,Grand Total,661,Food supply (kcal),2014,2014,million Kcal,37489167.430000,E,
KEN,2015-01-01,2015-12-31,114,'404,Kenya,2901,'S2901,Grand Total,661,Food supply (kcal),2015,2015,million Kcal,38433598.870000,E,
KEN,2016-01-01,2016-12-31,114,'404,Kenya,2901,'S2901,Grand Total,661,Food supply (kcal),2016,2016,million Kcal,38211526.380000,E,
KEN,2017-01-01,2017-12-31,114,'404,Kenya,2901,'S2901,Grand Total,661,Food supply (kcal),2017,2017,million Kcal,39379215.770000,E,
KEN,2018-01-01,2018-12-31,114,'404,Kenya,2901,'S2901,Grand Total,661,Food supply (kcal),2018,2018,million Kcal,40803809.860000,E,
KEN,2019-01-01,2019-12-31,114,'404,Kenya,2901,'S2901,Grand Total,661,Food supply (kcal),2019,2019,million Kcal,42795837.980000,E,
KEN,2020-01-01,2020-12-31,114,'404,Kenya,2901,'S2901,Grand Total,661,Food supply (kcal),2020,2020,million Kcal,43005357.440000,E,
KEN,2021-01-01,2021-12-31,114,'404,Kenya,2901,'S2901,Grand Total,661,Food supply (kcal),2021,2021,million Kcal,42011204.860000,E,
KEN,2022-01-01,2022-12-31,114,'404,Kenya,2901,'S2901,Grand Total,661,Food supply (kcal),2022,2022,million Kcal,42329287.130000,E,
