Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
KEN,2000-01-01,2002-12-31,114,'404,Kenya,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20002002,2002,%,93,E,
KEN,2001-01-01,2003-12-31,114,'404,Kenya,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20012003,2003,%,92,E,
KEN,2002-01-01,2004-12-31,114,'404,Kenya,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20022004,2004,%,92,E,
KEN,2003-01-01,2005-12-31,114,'404,Kenya,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20032005,2005,%,94,E,
KEN,2004-01-01,2006-12-31,114,'404,Kenya,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20042006,2006,%,96,E,
KEN,2005-01-01,2007-12-31,114,'404,Kenya,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20052007,2007,%,97,E,
KEN,2006-01-01,2008-12-31,114,'404,Kenya,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20062008,2008,%,96,E,
KEN,2007-01-01,2009-12-31,114,'404,Kenya,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20072009,2009,%,96,E,
KEN,2008-01-01,2010-12-31,114,'404,Kenya,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20082010,2010,%,97,E,
KEN,2009-01-01,2011-12-31,114,'404,Kenya,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20092011,2011,%,99,E,
KEN,2010-01-01,2012-12-31,114,'404,Kenya,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20102012,2012,%,100,E,
KEN,2011-01-01,2013-12-31,114,'404,Kenya,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20112013,2013,%,101,E,
KEN,2012-01-01,2014-12-31,114,'404,Kenya,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20122014,2014,%,101,E,
KEN,2013-01-01,2015-12-31,114,'404,Kenya,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20132015,2015,%,101,E,
KEN,2014-01-01,2016-12-31,114,'404,Kenya,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20142016,2016,%,100,E,
KEN,2015-01-01,2017-12-31,114,'404,Kenya,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20152017,2017,%,99,E,
KEN,2016-01-01,2018-12-31,114,'404,Kenya,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20162018,2018,%,98,E,
KEN,2017-01-01,2019-12-31,114,'404,Kenya,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20172019,2019,%,99,E,
