ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
KEN,Coast,1443123,Children stunted,48.1,1,KE,Kenya,1993,KE1993DHS,CN_NUTS_C_HA2,104236020,I,416003,1416010,Region,Coast,0,,0,1,CNNUTSCHA2,KEDHS1993416003,1993,DHS,376,565,,,1
KEN,Eastern,5700256,Children stunted,47.6,1,KE,Kenya,1993,KE1993DHS,CN_NUTS_C_HA2,104236020,I,416004,1416030,Region,Eastern,0,,0,1,CNNUTSCHA2,KEDHS1993416004,1993,DHS,980,725,,,1
KEN,Central,6374382,Children stunted,37.5,1,KE,Kenya,1993,KE1993DHS,CN_NUTS_C_HA2,104236020,I,416002,1416040,Region,Central,0,,0,1,CNNUTSCHA2,KEDHS1993416002,1993,DHS,599,582,,,1
KEN,Rift Valley,5714808,Children stunted,34.9,1,KE,Kenya,1993,KE1993DHS,CN_NUTS_C_HA2,104236020,I,416006,1416050,Region,Rift Valley,0,,0,1,CNNUTSCHA2,KEDHS1993416006,1993,DHS,1038,1243,,,1
KEN,Western,5433800,Children stunted,36.7,1,KE,Kenya,1993,KE1993DHS,CN_NUTS_C_HA2,104236020,I,416007,1416070,Region,Western,0,,0,1,CNNUTSCHA2,KEDHS1993416007,1993,DHS,828,744,,,1
KEN,Nyanza,884709,Children stunted,39.4,1,KE,Kenya,1993,KE1993DHS,CN_NUTS_C_HA2,104236020,I,416005,1416080,Region,Nyanza,0,,0,1,CNNUTSCHA2,KEDHS1993416005,1993,DHS,773,852,,,1
KEN,Nairobi,4950466,Children stunted,32.2,1,KE,Kenya,1993,KE1993DHS,CN_NUTS_C_HA2,104236020,I,416001,1416090,Region,Nairobi,0,,0,1,CNNUTSCHA2,KEDHS1993416001,1993,DHS,163,118,,,1
KEN,Coast,1586365,Children wasted,11.9,1,KE,Kenya,1993,KE1993DHS,CN_NUTS_C_WH2,104236050,I,416003,1416010,Region,Coast,0,,0,1,CNNUTSCWH2,KEDHS1993416003,1993,DHS,376,565,,,1
KEN,Eastern,4155201,Children wasted,7.8,1,KE,Kenya,1993,KE1993DHS,CN_NUTS_C_WH2,104236050,I,416004,1416030,Region,Eastern,0,,0,1,CNNUTSCWH2,KEDHS1993416004,1993,DHS,980,725,,,1
KEN,Central,1623526,Children wasted,4.9,1,KE,Kenya,1993,KE1993DHS,CN_NUTS_C_WH2,104236050,I,416002,1416040,Region,Central,0,,0,1,CNNUTSCWH2,KEDHS1993416002,1993,DHS,599,582,,,1
