Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
Feb 2026,KEN,53331000,,Baringo,current,2026-01-01,2026-03-31,all,764000,1.0
Feb 2026,KEN,53331000,,Baringo,current,2026-01-01,2026-03-31,3+,114600,0.15
Feb 2026,KEN,53331000,,Baringo,current,2026-01-01,2026-03-31,1,382000,0.5
Feb 2026,KEN,53331000,,Baringo,current,2026-01-01,2026-03-31,2,267400,0.35
Feb 2026,KEN,53331000,,Baringo,current,2026-01-01,2026-03-31,3,114600,0.15
Feb 2026,KEN,53331000,,Baringo,current,2026-01-01,2026-03-31,4,0,0
Feb 2026,KEN,53331000,,Baringo,current,2026-01-01,2026-03-31,5,0,0
Feb 2026,KEN,53331000,,Baringo,first projection,2026-04-01,2026-06-30,all,764000,1.0
Feb 2026,KEN,53331000,,Baringo,first projection,2026-04-01,2026-06-30,3+,114600,0.15
Feb 2026,KEN,53331000,,Baringo,first projection,2026-04-01,2026-06-30,1,420200,0.55
Feb 2026,KEN,53331000,,Baringo,first projection,2026-04-01,2026-06-30,2,229200,0.3
Feb 2026,KEN,53331000,,Baringo,first projection,2026-04-01,2026-06-30,3,114600,0.15
Feb 2026,KEN,53331000,,Baringo,first projection,2026-04-01,2026-06-30,4,0,0
Feb 2026,KEN,53331000,,Baringo,first projection,2026-04-01,2026-06-30,5,0,0
Feb 2026,KEN,53331000,,Dadaab,current,2026-01-01,2026-03-31,all,442547,1.0
Feb 2026,KEN,53331000,,Dadaab,current,2026-01-01,2026-03-31,3+,243401,0.55
Feb 2026,KEN,53331000,,Dadaab,current,2026-01-01,2026-03-31,1,66382,0.15
Feb 2026,KEN,53331000,,Dadaab,current,2026-01-01,2026-03-31,2,132764,0.3
Feb 2026,KEN,53331000,,Dadaab,current,2026-01-01,2026-03-31,3,132764,0.3
Feb 2026,KEN,53331000,,Dadaab,current,2026-01-01,2026-03-31,4,110637,0.25
Feb 2026,KEN,53331000,,Dadaab,current,2026-01-01,2026-03-31,5,0,0
