Date of analysis,Country,Total country population,Level 1,Validity period,From,To,Phase,Number,Percentage
Jul 2025,KEN,16617000,Others,current,2025-07-01,2025-09-30,all,16617000,1.0
Jul 2025,KEN,16617000,Others,current,2025-07-01,2025-09-30,3+,1760950,0.11
Jul 2025,KEN,16617000,Others,current,2025-07-01,2025-09-30,1,8426900,0.51
Jul 2025,KEN,16617000,Others,current,2025-07-01,2025-09-30,2,6429150,0.39
Jul 2025,KEN,16617000,Others,current,2025-07-01,2025-09-30,3,1581650,0.1
Jul 2025,KEN,16617000,Others,current,2025-07-01,2025-09-30,4,179300,0.01
Jul 2025,KEN,16617000,Others,current,2025-07-01,2025-09-30,5,0,0
Jul 2025,KEN,16617000,Others,first projection,2025-10-01,2026-01-31,all,16617000,1.0
Jul 2025,KEN,16617000,Others,first projection,2025-10-01,2026-01-31,3+,2120900,0.13
Jul 2025,KEN,16617000,Others,first projection,2025-10-01,2026-01-31,1,7440300,0.45
Jul 2025,KEN,16617000,Others,first projection,2025-10-01,2026-01-31,2,7055800,0.42
Jul 2025,KEN,16617000,Others,first projection,2025-10-01,2026-01-31,3,1960600,0.12
Jul 2025,KEN,16617000,Others,first projection,2025-10-01,2026-01-31,4,160300,0.01
Jul 2025,KEN,16617000,Others,first projection,2025-10-01,2026-01-31,5,0,0
Feb 2025,KEN,52428000,Others,current,2025-02-01,2025-03-31,all,16617000,1.0
Feb 2025,KEN,52428000,Others,current,2025-02-01,2025-03-31,3+,2150600,0.13
Feb 2025,KEN,52428000,Others,current,2025-02-01,2025-03-31,1,8113450,0.49
Feb 2025,KEN,52428000,Others,current,2025-02-01,2025-03-31,2,6352950,0.38
Feb 2025,KEN,52428000,Others,current,2025-02-01,2025-03-31,3,1884700,0.11
Feb 2025,KEN,52428000,Others,current,2025-02-01,2025-03-31,4,265900,0.02
Feb 2025,KEN,52428000,Others,current,2025-02-01,2025-03-31,5,0,0
Feb 2025,KEN,52428000,Others,first projection,2025-04-01,2025-06-30,all,16617000,1.0
Feb 2025,KEN,52428000,Others,first projection,2025-04-01,2025-06-30,3+,2823350,0.17
Feb 2025,KEN,52428000,Others,first projection,2025-04-01,2025-06-30,1,7206100,0.43
Feb 2025,KEN,52428000,Others,first projection,2025-04-01,2025-06-30,2,6587550,0.4
Feb 2025,KEN,52428000,Others,first projection,2025-04-01,2025-06-30,3,2531700,0.15
Feb 2025,KEN,52428000,Others,first projection,2025-04-01,2025-06-30,4,291650,0.02
Feb 2025,KEN,52428000,Others,first projection,2025-04-01,2025-06-30,5,0,0
Jul 2024,KEN,52428000,Others,current,2024-07-01,2024-09-30,all,16617000,1.0
Jul 2024,KEN,52428000,Others,current,2024-07-01,2024-09-30,3+,937222,0.05
Jul 2024,KEN,52428000,Others,current,2024-07-01,2024-09-30,1,9881614,0.59
Jul 2024,KEN,52428000,Others,current,2024-07-01,2024-09-30,2,5798165,0.35
Jul 2024,KEN,52428000,Others,current,2024-07-01,2024-09-30,3,894555,0.05
Jul 2024,KEN,52428000,Others,current,2024-07-01,2024-09-30,4,42667,0
Jul 2024,KEN,52428000,Others,current,2024-07-01,2024-09-30,5,0,0
Jul 2024,KEN,52428000,Others,first projection,2024-10-01,2025-01-31,all,16617000,1.0
Jul 2024,KEN,52428000,Others,first projection,2024-10-01,2025-01-31,3+,1732866,0.11
Jul 2024,KEN,52428000,Others,first projection,2024-10-01,2025-01-31,1,8799925,0.53
Jul 2024,KEN,52428000,Others,first projection,2024-10-01,2025-01-31,2,6084209,0.37
Jul 2024,KEN,52428000,Others,first projection,2024-10-01,2025-01-31,3,1634828,0.1
Jul 2024,KEN,52428000,Others,first projection,2024-10-01,2025-01-31,4,98038,0.01
Jul 2024,KEN,52428000,Others,first projection,2024-10-01,2025-01-31,5,0,0
